wordcnt.no,wordcnt.content,wordcnt.mor,wordcnt.cnt
903,비싼,Adjective,17
904,면,Noun,17
905,공사,Noun,17
906,알아서,Verb,17
907,되니,Verb,17
908,한잔,Noun,17
909,차가,Adjective,17
910,마치,Noun,17
911,메인,Noun,17
912,다닐,Verb,17
913,음,Noun,17
914,있더라구요,Adjective,17
915,다니고,Verb,17
916,센강,Noun,17
917,여러,Noun,17
918,아는,Verb,17
919,다가,Noun,17
920,가까운,Adjective,16
921,상태,Noun,16
922,부부,Noun,16
923,대한항공,Noun,16
924,환불,Noun,16
925,친절하고,Adjective,16
926,마무리,Noun,16
927,굿,Noun,16
928,탔어요,Verb,16
929,예전,Noun,16
930,프리,Noun,16
931,좋네요,Adjective,16
932,오시,Noun,16
933,프로,Noun,16
934,여름,Noun,16
935,재생,Noun,16
936,하셔서,Verb,16
937,가르니에,Verb,16
938,해도,Verb,16
939,입은,Verb,16
940,쭉,Noun,16
941,식품,Noun,16
942,위주,Noun,16
943,기타,Noun,16
944,썼어요,Verb,16
945,해주는,Verb,16
946,솔직히,Adjective,16
947,나서,Verb,16
948,일주일,Noun,16
949,스타일,Noun,16
950,인당,Verb,16
951,일반,Noun,16
952,나오고,Verb,16
953,같았어요,Adjective,16
954,오,Noun,16
955,고흐,Noun,16
956,션,Noun,16
957,무리,Noun,16
958,크로와상,Noun,16
959,성당,Noun,16
960,모르고,Verb,16
961,바르셀로나,Noun,16
962,후회,Noun,16
963,들어가면,Verb,16
964,나옵니다,Verb,16
965,있게,Adjective,16
966,받아,Verb,16
967,드릴게요,Verb,15
968,했구요,Verb,15
969,잠시,Noun,15
970,아직도,Adverb,15
971,확실히,Adjective,15
972,세금,Noun,15
973,바게트,Noun,15
974,거나,Noun,15
975,소금,Noun,15
976,줬어요,Verb,15
977,손님,Noun,15
978,입맛,Noun,15
979,찍어,Verb,15
980,수속,Noun,15
981,수영,Noun,15
982,발견,Noun,15
983,차이,Noun,15
984,가능합니다,Adjective,15
985,봉쥬,Noun,15
986,총,Noun,15
987,있네요,Adjective,15
988,출구,Noun,15
989,스페인,Noun,15
990,있던,Adjective,15
991,우연히,Adverb,15
992,운전,Noun,15
993,시도,Noun,15
994,쁘띠,Noun,15
995,않았고,Verb,15
996,않았지만,Verb,15
997,싶어서,Verb,15
998,리옹,Noun,15
999,쓸,Verb,15
1000,터미널,Noun,15
1001,갔을,Verb,15
1002,투맨,Noun,15
1003,타면,Verb,15
1004,사이트,Noun,15
1005,야외,Noun,15
1006,아니,Adjective,15
1007,약,Noun,15
1008,맥주,Noun,15
1009,맨,Noun,15
1010,샀어요,Verb,15
1011,는걸,Noun,15
1012,늘,Noun,15
1013,메뉴판,Noun,15
1014,고,Noun,15
1015,다니는,Verb,15
1016,하다,Verb,15
1017,모나리자,Noun,15
1018,모나코,Noun,15
1019,당일,Noun,15
1020,대성당,Noun,15
1021,대화,Noun,15
1022,감사합니다,Verb,15
1023,여러분,Noun,15
1024,돼요,Verb,15
1025,몸,Noun,15
1026,서비스,Noun,15
1027,등록,Noun,15
1028,무시,Noun,15
1029,무엇,Noun,15
1030,샌드위치,Noun,14
1031,앉을,Verb,14
1032,봐도,Verb,14
1033,겸,Noun,14
1034,결과,Noun,14
1035,이야기,Noun,14
1036,하는게,Verb,14
1037,연결,Noun,14
1038,키,Noun,14
1039,메일,Noun,14
1040,머리,Noun,14
1041,아예,Noun,14
1042,괜찮은,Adjective,14
1043,이유,Noun,14
1044,네,Noun,14
1045,근교,Noun,14
1046,컨디션,Noun,14
1047,준,Noun,14
1048,없다고,Adjective,14
1049,바지,Noun,14
1050,햇,Noun,14
1051,표지판,Noun,14
1052,영수증,Noun,14
1053,먹었어요,Verb,14
1054,올,Verb,14
1055,샤펠,Noun,14
1056,필요한,Adjective,14
1057,신랑,Noun,14
1058,우,Adverb,14
1059,아버지,Noun,14
1060,조심하세요,Verb,14
1061,에트르타,Noun,14
1062,나오는데,Verb,14
1063,딘,Noun,14
1064,세번,Noun,14
1065,받은,Verb,14
1066,주인,Noun,14
1067,짧은,Adjective,14
1068,딱히,Adjective,14
1069,뻔,Noun,14
1070,먹기,Noun,14
1071,권,Noun,14
1072,팀,Noun,14
1073,제품,Noun,14
1074,탔습니다,Verb,14
1075,말씀,Noun,14
1076,해보니,Verb,14
1077,없을,Adjective,14
1078,덜,Noun,14
1079,싶을,Verb,14
1080,친절,Noun,14
1081,파는,Verb,14
1082,니트,Noun,14
1083,아시아나,Noun,14
1084,간다,Noun,14
1085,유람선,Noun,14
1086,많습니다,Adjective,14
1087,실물,Noun,14
1088,기대,Noun,14
1089,분도,Noun,14
1090,갔고,Verb,14
1091,비행,Noun,14
1092,들어가,Verb,14
1093,있다면,Adjective,14
1094,하러,Verb,14
1095,거울,Noun,14
1096,인천,Noun,14
1097,기전,Noun,14
1098,두번째,Noun,14
1099,줍니다,Verb,14
1100,곳도,Noun,14
1101,경유,Noun,14
1102,역사,Noun,14
1103,사랑,Noun,14
1104,했으나,Verb,14
1105,이면,Noun,14
1106,두꺼운,Adjective,14
1107,언제,Noun,14
1108,환전,Noun,14
1109,하늘,Noun,14
1110,인기,Noun,14
1111,따라서,Noun,13
1112,블,Noun,13
1113,수영장,Noun,13
1114,그것,Noun,13
1115,갔다가,Verb,13
