p_wordcnt.no,p_wordcnt.content,p_wordcnt.mor,p_wordcnt.cnt
679,주의,Noun,3
680,오픈,Noun,3
681,보,Noun,3
682,급,Noun,3
683,동선,Noun,3
684,휴가,Noun,3
685,리무진,Noun,3
686,자마자,Noun,3
687,마을,Noun,3
688,클리,Noun,3
689,교환학생,Noun,3
690,시장,Noun,3
691,출장,Noun,3
692,쇼오,Noun,3
693,휴무,Noun,3
694,교환,Noun,3
695,작성,Noun,3
696,기,Noun,3
697,인티,Noun,3
698,꿀팁,Noun,3
699,번호,Noun,3
700,초등학생,Noun,3
701,금지,Noun,3
702,마감,Noun,3
703,반,Noun,3
704,분수,Noun,3
705,요새,Noun,3
706,층,Noun,3
707,거주,Noun,3
708,상태,Noun,3
709,대략,Noun,3
710,겹,Noun,3
711,런치,Noun,3
712,에르,Noun,3
713,관해,Noun,3
714,무리,Noun,3
715,면,Noun,3
716,에코,Noun,3
717,일만,Noun,3
718,스튜디오,Noun,3
719,순간,Noun,3
720,중심,Noun,3
721,대성당,Noun,3
722,워킹,Noun,3
723,결정,Noun,3
724,장애,Noun,3
725,베,Noun,3
726,별도,Noun,3
727,무제한,Noun,3
728,남,Noun,3
729,아이슬란드,Noun,3
730,궁금증,Noun,3
731,지역,Noun,3
732,대한,Noun,3
733,지베르니,Noun,3
734,대한항공,Noun,3
735,개시,Noun,3
736,납작,Noun,3
737,로만,Noun,3
738,스폿,Noun,3
739,해지,Noun,3
740,위험,Noun,3
741,일간,Noun,3
742,하얏트,Noun,3
743,기념품,Noun,3
744,궁,Noun,3
745,내부,Noun,3
746,실내,Noun,3
747,수도,Noun,3
748,엘리베이터,Noun,3
749,케이크,Noun,3
750,밖,Noun,3
751,메종,Noun,3
752,넘버,Noun,3
753,네,Noun,3
754,생투,Noun,3
755,전철,Noun,3
756,유효,Noun,3
757,은,Noun,3
758,관,Noun,3
759,오베르,Noun,3
760,음식,Noun,3
761,고가,Noun,3
762,화,Noun,3
763,어니언,Noun,3
764,청소년,Noun,3
765,올해,Noun,3
766,물품,Noun,3
767,인생,Noun,3
768,메르,Noun,3
769,지나,Noun,3
770,여름,Noun,3
771,블릭스,Noun,3
772,베니스,Noun,3
773,옷,Noun,3
774,이동해,Noun,3
775,조건,Noun,3
776,곧,Noun,3
777,시위,Noun,3
778,트램,Noun,3
779,지정,Noun,3
780,여행지,Noun,3
781,젠,Noun,3
782,이비,Noun,3
783,안시,Noun,3
784,한번,Noun,3
785,바리,Noun,3
786,놀이기구,Noun,3
787,카운트,Noun,3
788,창구,Noun,3
789,시인,Noun,3
790,일기예보,Noun,3
791,각각,Noun,3
792,함,Noun,3
793,수프,Noun,3
794,핫,Noun,3
795,샹젤리제,Noun,3
796,라이언킹,Noun,2
797,스케줄,Noun,2
798,라파예트,Noun,2
799,편의점,Noun,2
800,확,Noun,2
801,스테이크,Noun,2
802,스토어,Noun,2
803,레고,Noun,2
804,레드,Noun,2
805,만,Modifier,2
806,편이,Noun,2
807,가신,Noun,2
808,레종,Noun,2
809,승강장,Noun,2
810,승차,Noun,2
811,환전,Noun,2
812,지방,Noun,2
813,포기,Noun,2
814,관할,Noun,2
815,관심,Noun,2
816,바로,Noun,2
817,시간표,Noun,2
818,시경,Noun,2
819,체류,Noun,2
820,콘택트,Noun,2
821,시내버스,Noun,2
822,콜마르,Noun,2
823,체코,Noun,2
824,콩,Noun,2
825,효율,Noun,2
826,후기,Noun,2
827,폴란드,Noun,2
