l_wordcnt.no,l_wordcnt.content,l_wordcnt.mor,l_wordcnt.cnt
748,점심,Noun,2
749,끌,Noun,2
750,북역,Noun,2
751,볼거리,Noun,2
752,미만,Noun,2
753,출력,Noun,2
754,남아,Noun,2
755,여권,Noun,2
756,후회,Noun,2
757,상담,Noun,2
758,본적,Noun,2
759,조합,Noun,2
760,낮,Noun,2
761,전망대,Noun,2
762,맥주,Noun,2
763,컬,Noun,2
764,틱스,Noun,2
765,잡기,Noun,2
766,후불,Noun,2
767,전철,Noun,2
768,쇼핑,Noun,2
769,슈퍼,Noun,2
770,연극,Noun,2
771,진행,Noun,2
772,번트,Noun,2
773,연초,Noun,2
774,제,Modifier,2
775,번만,Noun,2
776,관해,Noun,2
777,참견,Noun,2
778,노,Noun,2
779,군데,Noun,2
780,장례식,Noun,2
781,영업,Noun,2
782,아무,Noun,2
783,서커스,Noun,2
784,코스,Noun,2
785,가신,Noun,2
786,부활절,Noun,2
787,리버풀,Noun,2
788,별,Noun,2
789,환급,Noun,2
790,화장실,Noun,2
791,피크,Noun,2
792,생각,Noun,2
793,계속,Noun,2
794,아웃,Noun,2
795,물품,Noun,2
796,오블릭스,Noun,2
797,니,Noun,2
798,바셀,Noun,2
799,매장,Noun,2
800,리,Noun,2
801,지불,Noun,2
802,계산,Noun,2
803,스탬,Noun,2
804,일이,Noun,2
805,기준,Noun,2
806,프림로즈,Noun,2
807,단,Noun,2
808,적응,Noun,2
809,온,Noun,2
810,어댑터,Noun,2
811,토스,Noun,2
812,스테이크,Noun,2
813,올해,Noun,2
814,옷,Noun,2
815,옷차림,Noun,2
816,젤,Noun,2
817,중간,Noun,2
818,완료,Noun,2
819,왓퍼드,Noun,2
820,담배,Noun,2
821,패딩,Noun,2
822,머리,Noun,2
823,플래티넘,Noun,2
824,중단,Noun,2
825,장식,Noun,2
826,콘서트,Noun,2
827,학생,Noun,2
828,당장,Noun,2
829,맘마미아,Noun,2
830,스트리트,Noun,2
831,요청,Noun,2
832,결과,Noun,2
833,용,Noun,2
834,사치,Noun,1
835,비교,Noun,1
836,살이,Noun,1
837,삼성,Noun,1
838,상,Noun,1
839,상태,Noun,1
840,상한,Noun,1
841,상활,Noun,1
842,인도,Noun,1
843,새,Noun,1
844,비건,Noun,1
845,블루투스,Noun,1
846,생년,Noun,1
847,블랙프라이데이,Noun,1
848,샤를르,Noun,1
849,서기,Noun,1
850,서나,Noun,1
851,블,Noun,1
852,브릿지,Noun,1
853,브리튼,Noun,1
854,입장료,Noun,1
855,자가진단,Noun,1
856,자꾸,Noun,1
857,브리스틀,Noun,1
858,자매,Noun,1
859,브리,Noun,1
860,자유로,Noun,1
861,작일,Noun,1
862,잘못,Noun,1
863,잘츠부르크,Noun,1
864,장,Noun,1
865,장애,Noun,1
866,장애인,Noun,1
867,재,Noun,1
868,재즈,Noun,1
869,뷰,Noun,1
870,불가능,Noun,1
871,저녁식사,Noun,1
872,전경,Noun,1
873,전기,Noun,1
874,전망,Noun,1
875,전반,Noun,1
876,전시,Noun,1
877,분해,Noun,1
878,전화,Noun,1
879,전화번호,Noun,1
880,절기,Noun,1
881,절차,Noun,1
882,점,Noun,1
883,점등,Noun,1
884,접근성,Noun,1
885,정가,Noun,1
886,분열,Noun,1
887,분실,Noun,1
888,정상,Noun,1
889,정상영,Noun,1
890,정상화,Noun,1
891,정액,Noun,1
892,제발,Noun,1
893,제외,Noun,1
894,조건,Noun,1
